['3.248', '87.68381', '-67.53087', '213.4227', '-0.659111', '34.26739', '-5.384191', '3.419', '10020', '30']
['3.264', '87.68381', '-67.53087', '213.4227', '-0.659008', '34.26746', '-5.384193', '3.419', '10020', '30']
['3.28', '87.68381', '-67.53081', '213.4227', '-0.659008', '34.26746', '-5.384083', '3.419', '10020', '30']
['3.296', '87.68381', '-67.53087', '213.4227', '-0.659111', '34.26746', '-5.384138', '3.419', '10020', '30']
['3.312', '87.68381', '-67.53087', '213.4227', '-0.6589737', '34.26742', '-5.384192', '3.419', '10020', '30']
['3.328', '87.68381', '-67.53087', '213.4227', '-0.6590424', '34.26742', '-5.384192', '3.419', '10020', '30']
['3.344', '87.68381', '-67.53087', '213.4227', '-0.659111', '34.26742', '-5.384247', '3.419', '10020', '30']
['3.36', '87.68388', '-67.53087', '213.4228', '-0.659008', '34.26739', '-5.384191', '3.419', '10020', '30']
['3.376', '87.68381', '-67.53087', '213.4227', '-0.659008', '34.26728', '-5.384187', '3.419', '10020', '30']
['3.392', '87.68381', '-67.53081', '213.4227', '-0.6590424', '34.26725', '-5.384185', '3.419', '10020', '30']
['3.408', '87.68381', '-67.53081', '213.4227', '-0.6590424', '34.26728', '-5.384132', '3.419', '10020', '30']
['3.424', '87.68381', '-67.53081', '213.4227', '-0.6590767', '34.26732', '-5.384243', '3.727', '10020', '40']
['3.44', '87.68381', '-67.54262', '213.4208', '-0.6589737', '34.27899', '-5.384406', '3.727', '10020', '40']
['3.456', '87.68408', '-67.67429', '213.3894', '-0.6573257', '34.46363', '-5.389792', '3.727', '10020', '40']
['3.472', '87.68545', '-68.10012', '213.2619', '-0.6511803', '35.03533', '-5.404145', '3.727', '10020', '40']
['3.488', '87.68971', '-68.86725', '212.9924', '-0.638855', '36.06327', '-5.426927', '3.727', '10020', '40']
['3.504', '87.6974', '-69.9416', '212.5679', '-0.6168823', '37.55951', '-5.448264', '3.727', '10020', '40']
['3.52', '87.70688', '-71.28654', '211.9429', '-0.5905151', '39.52699', '-5.466673', '3.727', '10020', '40']
['3.536', '87.71924', '-72.8404', '211.0584', '-0.5623627', '41.94762', '-5.486201', '3.727', '10020', '40']
['3.552', '87.73304', '-74.43429', '209.9424', '-0.5319443', '44.61822', '-5.504775', '3.727', '10020', '40']
['3.568', '87.74574', '-75.7788', '208.7962', '-0.5117226', '47.0678', '-5.521707', '3.727', '10020', '40']
['3.584', '87.75515', '-76.78119', '207.7859', '-0.4936638', '49.0795', '-5.53392', '3.727', '10020', '40']
['3.6', '87.76325', '-77.49365', '206.9589', '-0.4818535', '50.62277', '-5.542738', '3.727', '10020', '40']
['3.616', '87.76854', '-77.96338', '206.3563', '-0.4741631', '51.70334', '-5.549147', '3.727', '10020', '40']
['3.632', '87.77101', '-78.21194', '206.0137', '-0.4691505', '52.31065', '-5.55286', '3.727', '10020', '40']
['3.648', '87.77266', '-78.28901', '205.9054', '-0.4669876', '52.52519', '-5.554698', '3.727', '10020', '40']
['3.664', '87.77266', '-78.29472', '205.9', '-0.4663353', '52.56803', '-5.554986', '3.727', '10020', '40']
['3.68', '87.7728', '-78.29275', '205.9025', '-0.4656486', '52.57439', '-5.55495', '3.727', '10020', '40']
['3.696', '87.773', '-78.29439', '205.9007', '-0.4655113', '52.57535', '-5.555096', '3.727', '10020', '40']
['3.712', '87.77293', '-78.29384', '205.9014', '-0.4654083', '52.57476', '-5.555019', '3.727', '10020', '40']
['3.728', '87.77307', '-78.29445', '205.9005', '-0.465374', '52.57401', '-5.554991', '4.431', '110', '10']
['3.744', '87.77293', '-78.29615', '205.8989', '-0.4654083', '52.57291', '-5.555114', '4.431', '110', '10']
['3.76', '87.77341', '-78.29659', '205.8885', '-0.465477', '52.57679', '-5.559929', '4.431', '110', '10']
['3.776', '87.78296', '-78.31038', '205.7654', '-0.4654427', '52.71632', '-5.659589', '4.431', '110', '10']
['3.792', '87.81331', '-78.35581', '205.3605', '-0.4651337', '53.17232', '-6.030778', '4.431', '110', '10']
['3.808', '87.8703', '-78.43996', '204.6178', '-0.4637947', '53.9863', '-6.71801', '4.431', '110', '10']
['3.824', '87.95174', '-78.56328', '203.5386', '-0.4607735', '55.16874', '-7.718711', '4.431', '110', '10']
['3.84', '88.05906', '-78.7227', '202.1311', '-0.4559326', '56.71884', '-9.025821', '4.431', '110', '10']
['3.856', '88.19254', '-78.92012', '200.388', '-0.4497185', '58.63355', '-10.63966', '4.431', '110', '10']
['3.872', '88.34958', '-79.15583', '198.3091', '-0.4423714', '60.9128', '-12.56216', '4.431', '110', '10']
['3.888', '88.53216', '-79.42675', '195.9036', '-0.433651', '63.56147', '-14.7886', '4.431', '110', '10']
['3.904', '88.73959', '-79.73552', '193.1723', '-0.4236946', '66.56894', '-17.30904', '4.431', '110', '10']
['3.92', '88.94538', '-80.04561', '190.1771', '-0.4103394', '69.80919', '-19.97525', '4.431', '110', '10']
